Name,Age,Salary,Department
Frank,29.0,110205.0,Finance
Jack,22.0,100696.0,HR
Isaac,59.0,104563.0,Marketing
Bob,,48265.0,HR
Charlie,,82351.0,Engineering
Isaac,,110589.0,Operations
Isaac,,61953.0,Sales
Alice,28.0,,Finance
Bob,57.0,,IT
Eve,,,Finance
Bob,,,Operations
Charlie,50.0,102942.0,Engineering
David,,,
Bob,,,Marketing
Alice,,,Sales
Charlie,,48976.0,Marketing
Frank,,75040.0,Support
Eve,,94686.0,HR
Eve,30.0,,Sales
Hannah,34.0,98346.0,Operations
Eve,,52889.0,Finance
David,,71348.0,Sales
David,,,Support
Charlie,44.0,114871.0,
Charlie,,85433.0,Finance
Grace,25.0,68243.0,Sales
Charlie,,,Operations
Grace,,80516.0,Marketing
Hannah,50.0,64667.0,IT
Hannah,35.0,93258.0,Support
Bob,,,Finance
Bob,,118645.0,IT
Bob,,,
Jack,33.0,,Operations
Isaac,,,Engineering
Bob,,,HR
Charlie,24.0,84938.0,Operations
Eve,,110749.0,Sales
Grace,25.0,76210.0,IT
Jack,54.0,,Operations
Charlie,37.0,,
Charlie,,118135.0,HR
Jack,49.0,,Engineering
Frank,,94721.0,Operations
Charlie,,,Sales
Alice,,,Marketing
Jack,,,Finance
Bob,,,
Frank,,66388.0,Engineering
Hannah,54.0,,IT
Isaac,55.0,56790.0,HR
Grace,,,Support
Charlie,,115239.0,
Bob,,109611.0,Marketing
Grace,54.0,,
Charlie,54.0,115294.0,
Alice,49.0,,Marketing
David,58.0,,Finance
Alice,,,Operations
Grace,,,IT
Bob,,,Finance
David,25.0,,Support
Frank,60.0,,Marketing
Grace,26.0,101023.0,Operations
Jack,42.0,44413.0,HR
Alice,,,HR
Jack,,,Support
Hannah,,79808.0,Finance
Bob,,,Marketing
Isaac,,,Finance
Alice,27.0,,Operations
Hannah,47.0,,HR
David,43.0,40340.0,Marketing
Isaac,,68778.0,HR
Charlie,51.0,,Marketing
Isaac,,55878.0,Operations
Charlie,25.0,,HR
Isaac,,,Finance
Isaac,,77773.0,Support
Charlie,38.0,109795.0,Support
Jack,55.0,109748.0,Support
Eve,,,
Grace,,41253.0,Finance
Frank,,,HR
Eve,,115538.0,Engineering
David,50.0,52893.0,IT
Charlie,,,Sales
David,53.0,,Finance
Jack,,63196.0,Sales
Charlie,,,HR
Eve,23.0,107409.0,Marketing
Grace,56.0,,Finance
Charlie,44.0,,Operations
Bob,,,Support
Frank,50.0,67386.0,Engineering
Alice,31.0,64979.0,Sales
Frank,37.0,102947.0,
Isaac,27.0,80011.0,Operations
Eve,,107436.0,
Jack,56.0,64555.0,IT
Charlie,55.0,52870.0,HR
Jack,45.0,105058.0,Marketing
Hannah,,,Operations
Alice,40.0,,Support
Frank,55.0,83945.0,Sales
Bob,26.0,,Support
David,60.0,119790.0,
Jack,,,Finance
Bob,25.0,,Engineering
Jack,48.0,50880.0,Operations
David,39.0,92580.0,
Isaac,,,HR
Bob,53.0,80769.0,Marketing
David,43.0,71852.0,Support
Hannah,26.0,69555.0,
David,31.0,,Operations
Hannah,,65290.0,Sales
Hannah,,,Operations
Eve,,50768.0,Marketing
Grace,,,IT
David,34.0,,Finance
Jack,,,Operations
Grace,,63345.0,Operations
Eve,50.0,43499.0,HR
Isaac,,,IT
David,,96446.0,Engineering
Frank,,69668.0,Engineering
Isaac,,,Engineering
Charlie,34.0,101817.0,HR
Charlie,41.0,55383.0,Engineering
Grace,,92395.0,Operations
Grace,29.0,110364.0,
Hannah,,,Operations
Grace,,66160.0,Operations
Bob,,,Engineering
Charlie,59.0,,IT
Eve,35.0,,
David,47.0,,Engineering
Isaac,,50122.0,HR
Grace,,,IT
Grace,,,Engineering
Eve,,72468.0,Sales
Jack,33.0,63497.0,Sales
Grace,41.0,,
Grace,28.0,,Support
Frank,58.0,,Sales
Frank,,,
Hannah,,,
Hannah,54.0,43175.0,Support
Grace,43.0,108493.0,Engineering
Frank,,,Operations
Bob,,110740.0,Operations
Isaac,,66097.0,
Jack,52.0,102763.0,IT
David,49.0,105750.0,Marketing
Charlie,,,HR
Hannah,,63174.0,IT
David,32.0,,Support
Bob,,,Finance
Grace,39.0,57098.0,Support
Alice,22.0,111055.0,HR
David,,97941.0,IT
Jack,,,Support
Grace,,59020.0,Marketing
Hannah,49.0,,HR
Jack,54.0,84367.0,Operations
Isaac,33.0,,
Alice,58.0,92110.0,
David,,,
Frank,24.0,112466.0,
Grace,,72497.0,Engineering
Bob,43.0,71816.0,
Bob,,79720.0,Marketing
Isaac,,,IT
Bob,29.0,77288.0,Marketing
Grace,47.0,,Operations
Hannah,53.0,75739.0,Finance
Eve,55.0,91883.0,IT
Isaac,29.0,75483.0,
Grace,,71695.0,Sales
Bob,,116262.0,Finance
Jack,54.0,,HR
Bob,44.0,,Sales
Bob,46.0,,HR
Bob,29.0,,Sales
Grace,,53303.0,Support
Isaac,22.0,,IT
Frank,41.0,70049.0,HR
Hannah,,,Support
Frank,,87020.0,Finance
Hannah,36.0,,Support
Eve,,,Engineering
David,42.0,70347.0,Sales
Hannah,,103230.0,Sales
Isaac,,98468.0,Support
Grace,56.0,,Sales
David,22.0,57653.0,Engineering
Hannah,,78132.0,IT
Jack,58.0,57799.0,HR
Grace,,,Sales
Isaac,,,Finance
David,,,Finance
Grace,49.0,50704.0,HR
Grace,,42419.0,Engineering
Charlie,,106409.0,Sales
Hannah,,67099.0,IT
Eve,56.0,,HR
Bob,52.0,,HR
David,,,Marketing
Alice,,,Sales
Isaac,39.0,50125.0,Finance
Bob,28.0,,
Hannah,59.0,112516.0,Operations
Alice,55.0,60615.0,Sales
Alice,,,Marketing
Bob,40.0,,Support
Alice,,,HR
Isaac,30.0,,HR
Bob,47.0,,HR
Alice,51.0,114740.0,HR
Charlie,,,Marketing
Frank,35.0,88491.0,Operations
David,55.0,,Finance
Frank,,,Operations
Frank,,73655.0,Operations
David,54.0,,Support
Charlie,,49544.0,IT
Eve,,,Engineering
Charlie,30.0,,Marketing
Alice,49.0,,Support
Charlie,34.0,55254.0,HR
Isaac,26.0,55281.0,IT
Jack,,103514.0,Marketing
Isaac,,70022.0,Operations
Frank,37.0,,
Bob,,111665.0,Support
Bob,48.0,48951.0,Engineering
Jack,36.0,102819.0,Operations
Isaac,,55562.0,Finance
Bob,42.0,,Sales
Isaac,,60170.0,Sales
David,60.0,79622.0,Finance
Charlie,,,Engineering
David,59.0,62925.0,HR
Grace,60.0,119033.0,Engineering
Eve,44.0,,Sales
Frank,,71399.0,Finance
David,,69355.0,HR
Frank,40.0,,Sales
Eve,45.0,,Sales
Frank,38.0,45104.0,
David,,,Sales
Isaac,,45099.0,IT
Jack,,,HR
Frank,27.0,,Finance
Grace,31.0,40898.0,HR
Isaac,50.0,,Sales
Bob,49.0,,
Alice,56.0,,Operations
Jack,42.0,,HR
Eve,,,Operations
David,58.0,,Sales
Frank,,44481.0,
Bob,,,Support
Jack,34.0,,Finance
Charlie,59.0,109802.0,Marketing
Alice,,,Marketing
Hannah,23.0,,Engineering
Hannah,,,Support
David,,,Sales
Isaac,,47883.0,
Hannah,44.0,85181.0,HR
Charlie,,75622.0,Engineering
Jack,41.0,49561.0,Engineering
Eve,,,Finance
David,,,Sales
David,,92064.0,Operations
Eve,,82658.0,Engineering
Isaac,34.0,,Marketing
David,36.0,,Marketing
Bob,48.0,96495.0,HR
Alice,,64934.0,HR
Bob,58.0,,HR
Hannah,,96567.0,Support
Alice,,,Sales
Jack,,71163.0,Sales
Hannah,,115417.0,IT
Charlie,,49475.0,Engineering
Frank,,,HR
Hannah,34.0,66992.0,IT
Hannah,,112891.0,HR
Isaac,22.0,52226.0,Operations
Frank,24.0,,Marketing
Jack,42.0,,
Alice,,62095.0,Sales
Hannah,23.0,,Operations
Hannah,,101366.0,Sales
Charlie,,53964.0,IT
Bob,50.0,86506.0,IT
Alice,,97075.0,Sales
Bob,,,Operations
Isaac,44.0,,Operations
Jack,,89082.0,HR
Alice,47.0,,
Eve,,,Finance
David,,,Engineering
Eve,,,Support
Bob,41.0,64792.0,Sales
Alice,48.0,,HR
Hannah,,,Engineering
Charlie,58.0,101783.0,Marketing
David,54.0,65823.0,Operations
Alice,,100319.0,Sales
Hannah,29.0,,Sales
Isaac,,75790.0,Marketing
Isaac,46.0,56438.0,IT
Jack,,,Operations
Frank,,118484.0,IT
Frank,32.0,87854.0,Sales
Charlie,,91250.0,Operations
Alice,53.0,,Marketing
Frank,30.0,73954.0,Finance
Alice,,,Sales
Jack,58.0,,Marketing
Charlie,32.0,41993.0,Support
Hannah,25.0,,Operations
Bob,,,Engineering
David,,,Engineering
Eve,,86351.0,Operations
David,,54341.0,HR
Eve,,73489.0,Operations
Jack,,,Finance
Eve,29.0,55636.0,HR
Eve,24.0,,HR
Jack,35.0,,Sales
Frank,,,Marketing
Grace,,59663.0,IT
Frank,,82976.0,Sales
Alice,59.0,55305.0,Marketing
Alice,,,Marketing
David,60.0,83479.0,Operations
David,26.0,119941.0,
Alice,,,Sales
Hannah,,,
Bob,,,Engineering
Isaac,,,
Jack,39.0,,Support
Bob,,60849.0,Operations
Bob,,,
Isaac,59.0,,Support
Alice,44.0,,Marketing
Charlie,31.0,82484.0,Operations
Bob,,,Support
Eve,38.0,,Support
Grace,29.0,,
Frank,24.0,,HR
Bob,25.0,,
Bob,47.0,,
Frank,,68556.0,Support
Bob,25.0,,Marketing
Charlie,,,
Frank,59.0,85391.0,Marketing
Hannah,54.0,,Operations
Isaac,50.0,,IT
Jack,27.0,,Marketing
Eve,,61683.0,Engineering
Isaac,53.0,,Marketing
Hannah,,107493.0,Operations
Grace,,97162.0,
Hannah,22.0,,HR
Grace,49.0,96382.0,IT
Grace,23.0,70782.0,Marketing
Bob,29.0,,Support
Charlie,46.0,,
Hannah,,67869.0,
David,,,Finance
Alice,,47901.0,Sales
Grace,,,Marketing
Isaac,,,Marketing
Bob,,69220.0,
Jack,,41342.0,Operations
Alice,56.0,83177.0,Marketing
Eve,,45820.0,
Eve,31.0,,
Alice,,,Finance
Frank,,60309.0,Finance
Charlie,28.0,112147.0,Finance
Hannah,,,Engineering
Eve,,,Support
Eve,46.0,,Marketing
Frank,,,Sales
Grace,,,
Jack,,,IT
Bob,47.0,55076.0,Sales
Charlie,34.0,80963.0,Engineering
Bob,24.0,97226.0,HR
Eve,26.0,,Sales
Alice,31.0,81088.0,Marketing
David,,114033.0,HR
Isaac,30.0,47514.0,Finance
Frank,,65328.0,IT
David,,115432.0,Engineering
Isaac,,,IT
Charlie,34.0,110401.0,Operations
Hannah,,64618.0,HR
Frank,45.0,,Marketing
Alice,42.0,,
Alice,,68834.0,Engineering
Frank,37.0,89328.0,Engineering
David,,109342.0,Operations
Grace,27.0,,
Hannah,28.0,,IT
Frank,,57775.0,Finance
Isaac,,63652.0,Engineering
Charlie,,,IT
Jack,43.0,,HR
Jack,,,Finance
Grace,40.0,93002.0,
Eve,,,Finance
Isaac,48.0,87450.0,
Grace,,,Support
Eve,23.0,91793.0,Engineering
Frank,,,Finance
Frank,,85102.0,Operations
Frank,,65565.0,Sales
Charlie,,54346.0,Finance
Charlie,,40376.0,Marketing
Isaac,,,Operations
Alice,49.0,74119.0,Finance
Isaac,28.0,,
Frank,,,Finance
Hannah,,,Operations
Jack,,49466.0,Sales
Alice,,81695.0,Support
Grace,,70944.0,Support
Frank,42.0,,IT
Frank,,,Finance
Jack,,66585.0,HR
David,,97191.0,Operations
David,59.0,,Finance
Charlie,,,Support
Isaac,32.0,,Sales
Charlie,,,IT
David,,,Operations
Eve,,97391.0,HR
Bob,23.0,107600.0,
Alice,,95445.0,Support
Grace,,64535.0,Support
David,59.0,,Sales
Frank,,,Operations
Hannah,,72955.0,Finance
Bob,,,Sales
Frank,51.0,55728.0,
Isaac,49.0,,HR
Hannah,,111418.0,IT
Jack,47.0,119204.0,Engineering
Bob,,118906.0,Marketing
Bob,,97612.0,Finance
Frank,,47903.0,Marketing
Frank,,,Engineering
Jack,47.0,79165.0,Marketing
Hannah,,104733.0,IT
Hannah,,,Sales
Eve,,86251.0,Finance
Isaac,,,Engineering
Hannah,54.0,40900.0,Support
Charlie,44.0,,Engineering
Jack,43.0,66720.0,Support
Charlie,,,HR
Hannah,45.0,101856.0,HR
Alice,54.0,41606.0,Engineering
Isaac,,101757.0,HR
Grace,26.0,84084.0,Marketing
Jack,,,Finance
Frank,,,Engineering
Frank,28.0,79561.0,Sales
Bob,31.0,,
Bob,52.0,113369.0,Marketing
Jack,53.0,,Sales
Charlie,,102981.0,Sales
David,41.0,53373.0,Engineering
Frank,,62994.0,
David,,,HR
Grace,,41334.0,IT
Isaac,55.0,61727.0,Sales
Hannah,54.0,107452.0,Sales
Frank,,52979.0,
Jack,,109429.0,Engineering
Hannah,,46415.0,HR
David,,102005.0,
Jack,60.0,51165.0,Finance
Jack,32.0,,Finance
Charlie,,,HR
Eve,,104237.0,
David,51.0,,HR
Frank,53.0,,IT
Frank,60.0,,Operations
Alice,41.0,45861.0,Finance
Isaac,,,Sales
Alice,56.0,,IT
David,,85861.0,IT
Hannah,34.0,85779.0,Operations
Alice,38.0,,HR
Eve,,73845.0,Marketing
Charlie,25.0,47401.0,Operations
Eve,32.0,,Sales
Eve,,51779.0,Finance
Charlie,36.0,89871.0,
Isaac,,,Engineering
Bob,22.0,102372.0,HR
Jack,47.0,54098.0,
Grace,42.0,112878.0,HR
Eve,,73551.0,Operations
Hannah,37.0,77530.0,Engineering
Frank,25.0,81352.0,Sales
Grace,,86184.0,HR
Eve,25.0,,Engineering
Hannah,43.0,,
Eve,34.0,,IT
Eve,,76564.0,Support
Eve,,,HR
Eve,46.0,,
Bob,,,Engineering
Isaac,34.0,,IT
Frank,38.0,72503.0,Sales
Alice,,108912.0,Finance
Hannah,44.0,59327.0,Support
Isaac,36.0,67831.0,
Alice,45.0,,HR
Frank,54.0,,
Alice,34.0,118737.0,
Isaac,40.0,108696.0,
Isaac,,56959.0,Marketing
Jack,,,Support
Alice,57.0,81956.0,Operations
Charlie,,,Finance
Alice,,103239.0,Finance
David,30.0,82830.0,Marketing
Grace,50.0,107302.0,Operations
Eve,,,HR
Charlie,32.0,76533.0,HR
Charlie,60.0,61364.0,
Eve,,,Operations
Frank,24.0,,Sales
David,,84219.0,Operations
Jack,41.0,102002.0,HR
David,,,Operations
Frank,,,Support
Frank,,,Operations
Jack,38.0,,Marketing
Grace,,,Marketing
David,59.0,72844.0,
Isaac,51.0,52513.0,Engineering
Jack,37.0,67854.0,Operations
Jack,31.0,,Finance
Jack,,101659.0,Engineering
Charlie,40.0,115663.0,
Isaac,44.0,,Engineering
David,,64140.0,Support
Alice,28.0,67628.0,HR
Alice,,40931.0,HR
Bob,25.0,,IT
Alice,60.0,,
Isaac,55.0,65411.0,Engineering
David,31.0,,HR
Isaac,,,Support
Isaac,,,
Alice,47.0,,Finance
Frank,52.0,63287.0,Support
Alice,48.0,,HR
Grace,,,Support
David,,84003.0,IT
Charlie,,,Marketing
Alice,47.0,102972.0,Finance
Isaac,,54259.0,Engineering
Alice,42.0,,Engineering
Frank,,,Marketing
Isaac,23.0,,Finance
Jack,,105169.0,
Isaac,26.0,110653.0,Engineering
Hannah,,71974.0,HR
Bob,,91788.0,Operations
Eve,,102848.0,Sales
Grace,50.0,91987.0,Operations
Frank,,,
Eve,29.0,,IT
Eve,47.0,,HR
David,50.0,,
Charlie,,62464.0,
Alice,,89381.0,Support
Eve,53.0,115306.0,Support
Frank,30.0,,Engineering
Bob,,,IT
Jack,29.0,,Operations
Isaac,34.0,92127.0,Support
Charlie,60.0,111067.0,Operations
Eve,28.0,83859.0,Finance
Frank,,80214.0,HR
Eve,53.0,91687.0,Marketing
Isaac,55.0,43829.0,Engineering
Alice,,99812.0,Sales
Charlie,,,Sales
Hannah,,55525.0,IT
Hannah,41.0,78304.0,Engineering
Jack,,43414.0,IT
Isaac,,112585.0,IT
Isaac,,,Support
Isaac,,,Support
Frank,,51746.0,IT
David,,,Support
Eve,,,
Eve,40.0,73095.0,Finance
Hannah,59.0,109727.0,Support
Hannah,45.0,,
Grace,46.0,,Support
Eve,49.0,57427.0,Support
Eve,51.0,,Engineering
Bob,,95567.0,Support
Hannah,,60320.0,Marketing
Grace,28.0,67804.0,Sales
Eve,26.0,44456.0,Operations
Bob,,65374.0,Operations
Grace,,,Operations
David,,,Marketing
David,39.0,,Operations
Bob,46.0,,Marketing
David,33.0,,
Bob,,103022.0,
Charlie,,,Engineering
Eve,,,Operations
Alice,23.0,,IT
Alice,,67364.0,Support
Isaac,,,IT
Frank,37.0,66945.0,Engineering
Charlie,,88635.0,Support
Grace,58.0,114670.0,Finance
Frank,23.0,,HR
Hannah,,90873.0,Support
Hannah,,110840.0,Support
Alice,55.0,,Engineering
Bob,33.0,63887.0,Finance
Eve,,49452.0,IT
Hannah,30.0,,Support
Frank,34.0,65847.0,Engineering
Charlie,,43136.0,Support
Charlie,45.0,113907.0,IT
Alice,27.0,,
Isaac,32.0,,Operations
Alice,44.0,107298.0,
Isaac,,91794.0,Finance
Hannah,,,Support
Eve,28.0,50063.0,Operations
Hannah,,75608.0,Support
David,,105511.0,Support
Alice,26.0,95075.0,IT
Eve,22.0,,IT
Isaac,,58096.0,HR
Eve,,,HR
Bob,57.0,55764.0,
Isaac,,40230.0,Engineering
Grace,29.0,,Operations
Isaac,,65306.0,Support
Eve,,,Sales
Jack,24.0,,Marketing
Isaac,,114035.0,Marketing
Frank,,,HR
Bob,22.0,,Marketing
Charlie,,50591.0,Finance
Bob,,,Finance
Jack,55.0,60844.0,IT
Jack,53.0,,Finance
Bob,,73347.0,Finance
Frank,,,IT
Alice,,,Operations
David,,94631.0,Finance
Grace,,,Engineering
Frank,,,Operations
Charlie,54.0,,Operations
Grace,,90904.0,Engineering
Hannah,,,HR
Charlie,,,
Alice,,,Operations
Charlie,55.0,,Sales
David,46.0,61773.0,Sales
Eve,57.0,,IT
Charlie,38.0,109930.0,Operations
David,48.0,71841.0,IT
Bob,52.0,,
Hannah,,,Operations
Grace,45.0,,HR
Frank,23.0,52950.0,Sales
Hannah,,,Marketing
Bob,38.0,,Engineering
Hannah,,50995.0,
Isaac,54.0,82361.0,Engineering
Bob,48.0,,IT
Frank,,,Marketing
Bob,55.0,104707.0,
Bob,48.0,,Marketing
Frank,34.0,40779.0,Engineering
Hannah,,,Support
Eve,,,Support
Charlie,,,
Hannah,26.0,,Sales
Jack,52.0,49363.0,Engineering
Charlie,,52929.0,Marketing
Hannah,22.0,106819.0,Engineering
Bob,42.0,,Finance
Bob,,,Operations
Jack,58.0,81765.0,Engineering
Eve,32.0,,HR
Charlie,,106298.0,Operations
Isaac,,,Finance
Bob,23.0,103553.0,
Hannah,,,Engineering
Charlie,,69339.0,Finance
Frank,53.0,,
Isaac,40.0,,Marketing
Hannah,,,Finance
Frank,,,Engineering
Bob,40.0,54095.0,HR
Isaac,57.0,,Support
Bob,,,Support
Bob,,,Engineering
Hannah,,,Finance
Alice,,44696.0,Sales
Isaac,,101110.0,Sales
David,,79256.0,Finance
David,50.0,,
Frank,,,Finance
Jack,,97287.0,HR
Grace,60.0,,Support
Eve,33.0,77521.0,Sales
Frank,47.0,44893.0,Finance
Hannah,,59834.0,Finance
Bob,56.0,,Sales
Hannah,56.0,75332.0,Support
Frank,52.0,108519.0,IT
Frank,53.0,43435.0,Finance
Charlie,45.0,,Marketing
Isaac,,72415.0,Engineering
Charlie,,47895.0,Engineering
David,42.0,70428.0,
Grace,,,Sales
Alice,27.0,57036.0,Engineering
Frank,,81580.0,Sales
Bob,,,
David,46.0,59709.0,Support
Jack,,,Support
Bob,,,Finance
Eve,26.0,55945.0,Finance
Hannah,,64366.0,Sales
Hannah,44.0,,
David,,77147.0,Support
Isaac,34.0,51836.0,HR
David,29.0,,Operations
Jack,38.0,91164.0,Support
Hannah,,48394.0,HR
David,,,HR
Frank,59.0,50261.0,
Jack,41.0,54488.0,Marketing
Frank,27.0,,
Bob,,,
Isaac,27.0,43327.0,IT
Eve,,,HR
Eve,48.0,,IT
Alice,28.0,96421.0,IT
David,,,IT
Eve,,,Support
Isaac,,60502.0,Support
David,,,Marketing
Alice,43.0,,Support
Hannah,56.0,,Marketing
Charlie,42.0,49098.0,IT
Bob,29.0,115580.0,IT
Alice,,79014.0,Support
Jack,,,HR
Jack,,78711.0,
Hannah,30.0,,Operations
Charlie,,,
David,,64788.0,Sales
Bob,46.0,118924.0,Engineering
David,25.0,86977.0,Marketing
Charlie,,55638.0,
Frank,,,HR
Hannah,,96332.0,Support
Alice,,,Sales
Isaac,,,Marketing
Charlie,50.0,44582.0,Support
Alice,38.0,109897.0,
Alice,,86662.0,Sales
Jack,27.0,,HR
Frank,,80408.0,Marketing
Hannah,30.0,,Marketing
Isaac,,,HR
David,,,Engineering
Eve,51.0,43476.0,Finance
Eve,,67769.0,Support
David,,51315.0,HR
Charlie,58.0,96835.0,HR
Isaac,,95030.0,Engineering
Eve,45.0,,IT
David,,,Sales
Grace,60.0,87283.0,Finance
David,42.0,62390.0,Engineering
David,,,IT
Alice,,65955.0,
Jack,40.0,85850.0,
Grace,39.0,,
Bob,57.0,,Marketing
Grace,,87836.0,Finance
Frank,,54737.0,Support
Eve,,,Engineering
Bob,,,IT
Alice,,106291.0,IT
Jack,,,Engineering
Alice,,,Marketing
Isaac,52.0,40771.0,Operations
Isaac,,,HR
Isaac,,,Marketing
Charlie,57.0,,Finance
Bob,26.0,64773.0,IT
Bob,,76059.0,Engineering
David,44.0,66664.0,
Jack,30.0,92596.0,Operations
David,50.0,53833.0,Finance
Charlie,26.0,69567.0,IT
Grace,40.0,45537.0,
David,48.0,,Engineering
David,,,Finance
Eve,48.0,116449.0,HR
David,30.0,87503.0,Operations
Grace,,53580.0,Marketing
Charlie,48.0,73033.0,IT
Frank,,,Sales
David,,111719.0,
Jack,55.0,,Finance
Isaac,,53954.0,
Isaac,31.0,44555.0,Marketing
Hannah,,,Sales
Charlie,53.0,42670.0,Marketing
Isaac,,70050.0,HR
Bob,48.0,,IT
Frank,38.0,,Engineering
Hannah,,91573.0,Support
Charlie,35.0,,Finance
Grace,,,Operations
Frank,28.0,,Sales
Bob,,84973.0,Operations
Jack,48.0,49967.0,
Grace,,67068.0,Finance
Jack,,45893.0,Finance
Isaac,58.0,,Support
Charlie,,70606.0,IT
Alice,,62911.0,Support
Hannah,,89509.0,Support
David,23.0,49598.0,Support
Isaac,,99206.0,Marketing
Bob,30.0,59855.0,
Bob,,105991.0,HR
Jack,,90806.0,Support
Frank,,65742.0,HR
Hannah,51.0,58840.0,Operations
Hannah,,,Sales
Grace,,100892.0,Support
Isaac,,,HR
Isaac,,,Engineering
Frank,25.0,66884.0,
David,30.0,109210.0,Engineering
Hannah,,,Support
Jack,56.0,66966.0,HR
Isaac,34.0,117891.0,IT
Grace,57.0,50832.0,HR
Eve,29.0,,Sales
Grace,,100805.0,Marketing
David,42.0,90473.0,Engineering
Grace,,60237.0,Finance
Bob,,,Finance
Charlie,,78442.0,Marketing
Charlie,,,IT
Charlie,39.0,65850.0,HR
Charlie,59.0,105839.0,
Charlie,37.0,90824.0,Support
Bob,,,Sales
Bob,45.0,83021.0,IT
Eve,45.0,,Finance
Alice,38.0,,Support
Isaac,,,Engineering
Isaac,27.0,75966.0,Sales
Isaac,36.0,118270.0,Marketing
Hannah,36.0,73676.0,Operations
Frank,,,Finance
Jack,,,Engineering
Alice,,,
Jack,37.0,71566.0,Finance
Alice,39.0,89109.0,Marketing
Charlie,37.0,99693.0,
David,,,Engineering
Frank,44.0,49889.0,HR
Isaac,27.0,,Sales
Bob,,93788.0,Engineering
Grace,51.0,117465.0,Engineering
Charlie,,,Operations
Eve,,,Support
Isaac,,,Engineering
David,,47390.0,Support
Bob,,,
Charlie,,,Sales
Jack,,,IT
Hannah,22.0,,IT
Isaac,25.0,116646.0,Finance
Isaac,,113948.0,HR
Eve,,,
Bob,,116474.0,Support
Hannah,54.0,,Engineering
Charlie,25.0,112988.0,Finance
Eve,29.0,84327.0,Sales
Grace,,72143.0,HR
David,29.0,80079.0,Operations
David,,,IT
Grace,,50600.0,Sales
David,,81784.0,
Frank,,76374.0,Finance
Bob,57.0,43735.0,
Frank,,,IT
David,52.0,,Marketing
Charlie,,,
Frank,,,Engineering
David,,85999.0,Operations
Jack,54.0,114549.0,Engineering
Isaac,47.0,103964.0,Support
Bob,,66423.0,Sales
Bob,42.0,56419.0,Finance
Bob,,48333.0,Marketing
Hannah,46.0,93180.0,
Bob,,,IT
Isaac,,,
Frank,,,HR
Isaac,54.0,,Sales
Bob,,74919.0,Support
Jack,41.0,,Sales
Eve,,75037.0,HR
Charlie,39.0,100794.0,Finance
David,39.0,98965.0,Finance
Hannah,,61280.0,Operations
Grace,54.0,118244.0,HR
Charlie,,88457.0,HR
Hannah,59.0,,Finance
Bob,58.0,,Sales
Isaac,41.0,68021.0,Engineering
Grace,,44202.0,Operations
Charlie,,,Marketing
Charlie,,41514.0,IT
Frank,38.0,,IT
Eve,49.0,,Engineering
Hannah,47.0,,Marketing
Charlie,,,Finance
Bob,29.0,,Finance
Jack,,,Support
Grace,,76135.0,Engineering
Charlie,,,
Alice,,110223.0,Sales
Jack,51.0,52850.0,Finance
Bob,,,HR
Hannah,27.0,103765.0,Operations
Eve,55.0,,Engineering
Jack,,82852.0,
Jack,,92090.0,Engineering
